mapping_kind,format_epoch,version_scope,record_identity,cmper,element_stride,location,width_bytes,byte_order_rule,target_field,verification,confidence
scalar,"uncompressed, DCL, zlib",Finale 3.x onward,15,65534,,word 1,2,container,maxHyphenSeparation,"144 in every tracked fixture from Finale 3.7.2 onward and in every companion; Coda-banner documents carry the selector with a zero there and companions that say 144, so the field is absent in that epoch",strong
scalar,all,Finale 2004 onward,35,65534,,word 5,2,container,useSmartHyphens,"framework-named; 0 in every fixture through Finale 2003 and 1 from Finale 2004, while every companion of every era says on -- an option arriving switched on. Gated on selector 57 rather than read before it exists",strong
collection,"uncompressed, DCL, zlib",Finale 2004 onward,55,65534,3 words,"element n at words 3n, 3n+1, 3n+2",2,container,wordExtConnectStyles[9],"9 elements in musxdom's own type order; the Finale 2006 fixture stores all six connection points with distinct offsets and its companion names each one beside the same offsets",confirmed
field-of-collection,"uncompressed, DCL, zlib",Finale 2004 onward,55,65534,3 words,word 3n,2,container,wordExtConnectStyles[n].connectIndex,"legacy numbering starts at 0x10 and orders lyric/head/dot/duration/systemLeft/systemRight, which is not musxdom's order; corroborated independently by the framework's smart-shape entry connection enum, which reaches lyric-right-bottom at 0x10 but omits the dotted entry",confirmed
field-of-collection,"uncompressed, DCL, zlib",Finale 2004 onward,55,65534,3 words,"words 3n+1 and 3n+2",2,container,wordExtConnectStyles[n].xOffset / yOffset,"Finale 2006 fixture carries five distinct y offsets and four distinct x offsets, all matching its companion",confirmed
scalar,all,every era including Coda-banner,29,65534,,word 5,2,container,wordExtVertOffset,"the dialog's ""Lift"". tests/evidence/F100/F100-wext-push-6-lift-5.* moves it 4 to 5 and moves no other word in the file; companion and ETF both agree. Confirmed again in the uncompressed epoch by F372-lyricopts-changed. These two are the only lyric values a Coda-banner document stores",confirmed
scalar,all,every era including Coda-banner,30,65534,,word 5,2,container,wordExtHorzOffset,"the dialog's ""Push"", same fixtures: 4 to 6 in Finale 1.0.0 and again in Finale 3.7.2, matching companion and ETF. F2006 stores 8 here and its companion reads 8",confirmed
derived,"uncompressed, DCL, zlib",before Finale 2004 (no selector 55),,,,,,,wordExtConnectStyles[defaultStart].xOffset / yOffset,"musxdom models the dialog pair twice; where the era stores no connection table the starting element takes the values recovered from selectors 29 and 30, which is what Finale 27 does and what both new companions show",confirmed
intended-difference,"uncompressed, DCL",before Finale 2004 (no selector 55),,,,,,,wordExtConnectStyles[oneEntryEnd].xOffset,"Finale 27 moves this element with Push, 42 to 44 in the Finale 3.7.2 pair. One specimen cannot distinguish that formula from others that fit, so the reader keeps the pinned baseline's 42",open
scalar,"uncompressed, DCL, zlib",Finale 2004 onward,57,65534,,word 0,2,container,smartHyphenStart,"1 in every fixture that carries the selector, against a companion of `sometimes`; musxdom's SmartHyphenStart is in the legacy order, so `always` and `never` rest on the enum alone",strong
